County Name,State,5/26/2020,5/27/2020,5/28/2020,
Carroll County,IL,13,14,14,1
Cass County,IL,67,69,69,2
Champaign County,IL,572,583,599,11
Christian County,IL,32,32,32,0
Clark County,IL,10,10,11,0
Clay County,IL,2,2,2,0
Clinton County,IL,177,177,181,0
Coles County,IL,114,120,123,6
Cook County,IL,73902,74707,75696,805
Crawford County,IL,11,11,11,0
Cumberland County,IL,10,10,10,0
DeKalb County,IL,330,335,353,5
De Witt County,IL,4,4,4,0
Douglas County,IL,26,26,26,0
DuPage County,IL,7292,7348,7468,56
Edgar County,IL,0,0,0,0
Edwards County,IL,2,2,2,0
Effingham County,IL,6,6,6,0
Fayette County,IL,21,21,21,0
Ford County,IL,20,20,20,0
Franklin County,IL,12,12,12,0
Fulton County,IL,11,11,11,0
Gallatin County,IL,2,2,2,0
Greene County,IL,5,5,5,0
Grundy County,IL,89,89,96,0
Hamilton County,IL,2,2,2,0
Hancock County,IL,15,15,16,0
Hardin County,IL,1,1,1,0
Henderson County,IL,8,8,8,0
Henry County,IL,67,67,67,0
Iroquois County,IL,134,134,134,0
Jackson County,IL,227,241,254,14
Jasper County,IL,48,48,48,0
Jefferson County,IL,104,104,104,0
Jersey County,IL,20,20,20,0
Jo Daviess County,IL,27,31,32,4
Johnson County,IL,7,7,7,0
Kane County,IL,5852,5948,6084,96
Kankakee County,IL,800,800,835,0
Kendall County,IL,727,735,750,8
Knox County,IL,94,94,96,0
Lake County,IL,7774,7817,7932,43
LaSalle County,IL,140,140,140,0
Lawrence County,IL,4,4,4,0
Lee County,IL,73,73,79,0
Livingston County,IL,31,31,31,0
Logan County,IL,10,10,10,0
McDonough County,IL,83,83,83,0
McHenry County,IL,1459,1484,1487,25
McLean County,IL,211,214,214,3
Macon County,IL,188,188,193,0
Macoupin County,IL,42,43,44,1
Madison County,IL,541,545,545,4
Marion County,IL,51,51,51,0
Marshall County,IL,5,5,5,0
Mason County,IL,17,17,18,0
Massac County,IL,7,7,7,0
Menard County,IL,18,18,18,0
Mercer County,IL,15,16,16,1
Monroe County,IL,92,93,93,1
Montgomery County,IL,39,39,39,0
Morgan County,IL,34,34,34,0
Moultrie County,IL,10,10,10,0
Ogle County,IL,193,193,199,0
Peoria County,IL,186,187,191,1
